Step,Inventory,Order,Fulfilled,Action,Reward
1,7,3,3,Wait,3.0
2,4,3,3,Wait,3.0
3,2,2,2,Wait,2.0
4,5,2,2,Refill,2.0
5,5,0,0,Wait,0.0
6,3,2,2,Wait,2.0
7,6,2,2,Refill,2.0
8,4,2,2,Wait,2.0
9,2,2,2,Wait,2.0
10,5,2,2,Refill,2.0
11,3,2,2,Wait,2.0
12,8,0,0,Refill,0.0
13,8,0,0,Wait,0.0
14,6,2,2,Wait,2.0
15,5,1,1,Wait,1.0
16,5,0,0,Wait,0.0
17,4,1,1,Wait,1.0
18,3,1,1,Wait,1.0
19,7,1,1,Refill,1.0
20,5,2,2,Wait,2.0
21,4,1,1,Wait,1.0
22,2,2,2,Wait,2.0
23,7,0,0,Refill,0.0
24,5,2,2,Wait,2.0
25,4,1,1,Wait,1.0
26,2,2,2,Wait,2.0
27,7,0,0,Refill,0.0
28,6,1,1,Wait,1.0
29,5,1,1,Wait,1.0
30,5,0,0,Wait,0.0
